epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7081.81,1.52513,0.81003,1.15046,0.72594,0.68923,0.75774,0.47476,1.40783,0.74971,1.11969,0.005842,0.005842,0.005842
44,7240.49,1.52367,0.8019,1.14674,0.7566,0.69229,0.76852,0.48434,1.40253,0.74975,1.10952,0.005743,0.005743,0.005743
45,7399.63,1.52225,0.8126,1.1406,0.76033,0.69465,0.77334,0.48444,1.40033,0.74262,1.11214,0.005644,0.005644,0.005644
46,7561.4,1.51093,0.79599,1.14645,0.77204,0.67147,0.77351,0.48979,1.39694,0.73827,1.11089,0.005545,0.005545,0.005545
47,7724.37,1.50796,0.79409,1.14468,0.75238,0.69336,0.77489,0.49098,1.40557,0.73916,1.11681,0.005446,0.005446,0.005446
48,7873.66,1.50981,0.79288,1.14319,0.73833,0.69463,0.77224,0.48906,1.40014,0.73706,1.11293,0.005347,0.005347,0.005347
49,8043.83,1.48968,0.78544,1.13302,0.7554,0.68779,0.76933,0.48777,1.39685,0.73474,1.10807,0.005248,0.005248,0.005248
50,8187.83,1.49389,0.78078,1.13607,0.7361,0.71004,0.77062,0.48774,1.38869,0.72698,1.10869,0.005149,0.005149,0.005149
51,8332.48,1.49877,0.78062,1.13565,0.73912,0.7226,0.78341,0.49959,1.37703,0.71569,1.09912,0.00505,0.00505,0.00505
52,8476.18,1.49309,0.78024,1.13528,0.75784,0.70715,0.78301,0.49829,1.39154,0.72101,1.10579,0.004951,0.004951,0.004951
53,8632.4,1.48001,0.77244,1.13033,0.75031,0.7038,0.7815,0.49895,1.37543,0.71424,1.10098,0.004852,0.004852,0.004852
54,8777.95,1.48289,0.77511,1.1312,0.75102,0.71144,0.78623,0.50559,1.36997,0.71007,1.10143,0.004753,0.004753,0.004753
55,8925.54,1.47751,0.77098,1.13207,0.78769,0.68376,0.78518,0.50538,1.37077,0.71361,1.09844,0.004654,0.004654,0.004654
56,9069.98,1.47175,0.76512,1.12505,0.75891,0.71301,0.79199,0.50936,1.3665,0.70412,1.09253,0.004555,0.004555,0.004555
57,9218.12,1.47335,0.76181,1.1264,0.75638,0.7263,0.79481,0.5108,1.36824,0.70056,1.09642,0.004456,0.004456,0.004456
58,9363.39,1.46341,0.7587,1.12174,0.78023,0.72634,0.79843,0.51497,1.36006,0.69716,1.09194,0.004357,0.004357,0.004357
59,9514.37,1.46221,0.7553,1.12006,0.76625,0.73016,0.79807,0.51379,1.35645,0.69489,1.09181,0.004258,0.004258,0.004258
60,9659.25,1.45635,0.75186,1.11849,0.75531,0.72756,0.79722,0.51827,1.34875,0.68755,1.08415,0.004159,0.004159,0.004159
61,9818.81,1.45238,0.75162,1.11526,0.74912,0.73221,0.79656,0.51561,1.34913,0.692,1.08757,0.00406,0.00406,0.00406
62,9963.52,1.45212,0.74653,1.11654,0.78096,0.72275,0.80194,0.52038,1.34756,0.68552,1.08628,0.003961,0.003961,0.003961
63,10114.2,1.45746,0.74882,1.11452,0.76182,0.72938,0.79967,0.52161,1.34152,0.68105,1.08169,0.003862,0.003862,0.003862
64,10263.6,1.43497,0.73649,1.11005,0.77926,0.72478,0.80376,0.52308,1.34443,0.68142,1.08687,0.003763,0.003763,0.003763
65,10406,1.44189,0.74439,1.11167,0.77464,0.72803,0.80179,0.52118,1.34354,0.68133,1.08566,0.003664,0.003664,0.003664
66,10563.9,1.43884,0.73891,1.10733,0.77775,0.72334,0.80633,0.52436,1.33992,0.67655,1.08411,0.003565,0.003565,0.003565
67,10724.8,1.43438,0.73124,1.10603,0.7727,0.73776,0.80775,0.52509,1.336,0.67295,1.08153,0.003466,0.003466,0.003466
68,10873.1,1.43705,0.7356,1.10408,0.7585,0.7401,0.80336,0.52378,1.33784,0.67526,1.08041,0.003367,0.003367,0.003367
69,11017.4,1.42402,0.72439,1.10557,0.77228,0.73405,0.80694,0.52475,1.33481,0.67166,1.07991,0.003268,0.003268,0.003268
70,11190.8,1.4232,0.73029,1.10205,0.79151,0.72312,0.81033,0.5288,1.32557,0.66408,1.07625,0.003169,0.003169,0.003169
71,11396.7,1.42701,0.72274,1.1015,0.78846,0.73266,0.81112,0.52964,1.3271,0.66562,1.07643,0.00307,0.00307,0.00307
72,11544.2,1.41646,0.71504,1.09853,0.78362,0.73675,0.81277,0.53208,1.32394,0.66379,1.07325,0.002971,0.002971,0.002971
73,11705.6,1.40834,0.7199,1.10065,0.7753,0.74144,0.812,0.53156,1.32567,0.66545,1.07519,0.002872,0.002872,0.002872
74,11853.9,1.39123,0.71051,1.09122,0.79022,0.73626,0.81281,0.53202,1.32175,0.66434,1.0724,0.002773,0.002773,0.002773
75,12014.6,1.40767,0.71132,1.09414,0.79583,0.73749,0.81521,0.53451,1.31814,0.65781,1.07081,0.002674,0.002674,0.002674
76,12238.7,1.39127,0.70881,1.08897,0.8099,0.72633,0.81829,0.53728,1.31682,0.65642,1.07186,0.002575,0.002575,0.002575
77,12389,1.39647,0.71004,1.09154,0.79425,0.74034,0.82039,0.53926,1.31144,0.6522,1.06837,0.002476,0.002476,0.002476
78,12536.5,1.39357,0.70583,1.08882,0.79495,0.73798,0.82027,0.53955,1.30996,0.65197,1.06722,0.002377,0.002377,0.002377
79,12684,1.38956,0.70359,1.08819,0.803,0.74008,0.82135,0.54016,1.30609,0.65139,1.06715,0.002278,0.002278,0.002278
80,12833.1,1.38817,0.70164,1.08569,0.79694,0.74322,0.82315,0.54054,1.30571,0.65258,1.06594,0.002179,0.002179,0.002179
81,13064.4,1.39256,0.70295,1.08672,0.79085,0.74631,0.82482,0.54379,1.30076,0.64878,1.06431,0.00208,0.00208,0.00208
82,13212.9,1.37921,0.69248,1.08153,0.80524,0.73715,0.82309,0.54384,1.299,0.64619,1.06297,0.001981,0.001981,0.001981
83,13369.7,1.36829,0.69432,1.08112,0.80494,0.74686,0.82629,0.54693,1.298,0.64445,1.06316,0.001882,0.001882,0.001882
84,13517.2,1.36887,0.68816,1.07881,0.80982,0.74372,0.82769,0.54835,1.29714,0.64238,1.06365,0.001783,0.001783,0.001783
85,13668.3,1.3672,0.68926,1.0776,0.811,0.73856,0.83013,0.55096,1.29438,0.64159,1.06081,0.001684,0.001684,0.001684
86,13830,1.36054,0.68657,1.07925,0.8073,0.74484,0.82891,0.55017,1.29291,0.63979,1.05938,0.001585,0.001585,0.001585
87,13969.4,1.35375,0.68153,1.07161,0.81728,0.73636,0.8285,0.54977,1.29105,0.63887,1.0591,0.001486,0.001486,0.001486
88,14112.5,1.35201,0.68052,1.07252,0.83324,0.73362,0.83046,0.55135,1.28983,0.63745,1.05932,0.001387,0.001387,0.001387
89,14269,1.34737,0.67937,1.07548,0.8122,0.75046,0.8319,0.55223,1.287,0.63638,1.05863,0.001288,0.001288,0.001288
90,14423.2,1.33984,0.66908,1.07003,0.79272,0.76897,0.83295,0.55383,1.28694,0.63434,1.05853,0.001189,0.001189,0.001189
91,14806.2,1.31885,0.64258,1.07286,0.79609,0.76843,0.83108,0.55069,1.28972,0.63658,1.0582,0.00109,0.00109,0.00109
92,14953,1.30425,0.63285,1.06968,0.80086,0.76264,0.83064,0.55122,1.29108,0.6359,1.05872,0.000991,0.000991,0.000991
93,15101,1.29928,0.62975,1.0677,0.80937,0.75396,0.8314,0.5522,1.2887,0.6356,1.05835,0.000892,0.000892,0.000892
94,15250.6,1.29001,0.62356,1.06367,0.81817,0.74916,0.83205,0.55187,1.28758,0.63455,1.05802,0.000793,0.000793,0.000793
95,15395,1.28892,0.6233,1.06173,0.8074,0.75634,0.83362,0.55464,1.28498,0.63203,1.05634,0.000694,0.000694,0.000694
96,15540.4,1.27807,0.61647,1.05896,0.80071,0.76459,0.834,0.55546,1.28465,0.63117,1.05631,0.000595,0.000595,0.000595
97,15679.2,1.27912,0.61734,1.05945,0.80295,0.76416,0.83452,0.55603,1.28088,0.63069,1.05486,0.000496,0.000496,0.000496
98,15822,1.26958,0.6113,1.0573,0.79441,0.77155,0.83514,0.55671,1.27965,0.6295,1.05444,0.000397,0.000397,0.000397
99,15960.5,1.26978,0.61177,1.0553,0.80359,0.76221,0.83514,0.55673,1.27873,0.62874,1.05402,0.000298,0.000298,0.000298
100,16105.4,1.25809,0.60872,1.05175,0.80607,0.76152,0.83555,0.55684,1.27816,0.62787,1.05407,0.000199,0.000199,0.000199
