                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  3.381,                 1.7692,                 1.9638,                0.88261,                0.73159,                 0.8242,                0.48538,                 1.2375,                  6.074,                0.76344,              0.0013268,              0.0013268,              0.0013268
                     36,                 3.3225,                  1.759,                 1.9657,                0.89938,                0.74115,                0.82892,                0.49726,                 1.2446,                 1.5068,                0.76999,               0.001307,               0.001307,               0.001307
                     37,                 3.3853,                 1.7717,                 1.9699,                0.89878,                0.73336,                0.83219,                0.50689,                 1.2048,                0.66668,                0.75819,              0.0012872,              0.0012872,              0.0012872
                     38,                 3.4138,                 1.7869,                 1.9566,                0.89516,                0.73552,                0.82774,                0.50122,                 1.2093,                 2.9541,                0.75699,              0.0012674,              0.0012674,              0.0012674
                     39,                 3.2658,                 1.6936,                 1.9477,                0.89367,                0.74179,                0.83421,                0.49989,                 1.2234,                0.80971,                0.76007,              0.0012476,              0.0012476,              0.0012476
                     40,                 3.3084,                 1.7018,                 1.9482,                0.87864,                0.75969,                 0.8409,                0.50159,                 1.2242,                 1.7592,                0.75484,              0.0012278,              0.0012278,              0.0012278
                     41,                 3.3518,                 1.7652,                 1.9601,                0.88309,                0.75379,                0.83618,                0.50477,                 1.2215,                 1.2493,                0.75894,               0.001208,               0.001208,               0.001208
                     42,                 3.2741,                 1.6832,                 1.9325,                0.89276,                0.73818,                0.83032,                 0.4976,                 1.2202,                0.67748,                0.75853,              0.0011882,              0.0011882,              0.0011882
                     43,                 3.3091,                 1.7615,                 1.9523,                0.89223,                0.74631,                0.83432,                0.50066,                 1.2325,                0.79084,                0.76078,              0.0011684,              0.0011684,              0.0011684
                     44,                 3.2593,                 1.6833,                 1.9508,                0.89158,                0.75548,                0.83971,                0.51396,                 1.2038,                 0.8376,                 0.7576,              0.0011486,              0.0011486,              0.0011486
                     45,                 3.3308,                 1.7604,                 1.9505,                0.90378,                0.74916,                0.84251,                0.50006,                  1.234,                0.66172,                0.75712,              0.0011288,              0.0011288,              0.0011288
                     46,                 3.3037,                 1.7486,                 1.9441,                0.89021,                0.74937,                0.83478,                 0.4932,                 1.2319,                  2.287,                0.75939,               0.001109,               0.001109,               0.001109
                     47,                 3.2772,                 1.7089,                 1.9333,                0.88989,                0.76116,                0.84274,                0.51525,                 1.2069,                 1.9153,                0.75665,              0.0010892,              0.0010892,              0.0010892
                     48,                 3.1802,                 1.6441,                 1.9298,                0.90497,                0.75295,                0.84211,                0.50232,                 1.2136,                0.87017,                0.75609,              0.0010694,              0.0010694,              0.0010694
                     49,                  3.254,                 1.7019,                  1.951,                0.90069,                0.75316,                0.84459,                0.51338,                 1.2047,                0.73986,                0.75628,              0.0010496,              0.0010496,              0.0010496
                     50,                 3.1786,                 1.6359,                 1.9181,                0.90399,                0.74495,                0.84148,                0.50321,                 1.2263,                  1.285,                0.75767,              0.0010298,              0.0010298,              0.0010298
                     51,                  3.259,                 1.7002,                 1.9501,                0.89374,                0.75758,                0.84748,                0.50943,                 1.2038,                0.68991,                0.75194,                0.00101,                0.00101,                0.00101
                     52,                 3.2269,                 1.6428,                  1.925,                0.89563,                0.75421,                0.84406,                0.52197,                 1.1789,                 0.8225,                0.75001,              0.0009902,              0.0009902,              0.0009902
                     53,                 3.2586,                 1.6873,                 1.9349,                0.89447,                 0.7587,                0.84648,                0.51435,                 1.1908,                0.99463,                0.75142,              0.0009704,              0.0009704,              0.0009704
                     54,                 3.2365,                 1.6525,                 1.9184,                0.88501,                0.75379,                0.83889,                0.51297,                 1.2037,                 1.2578,                0.75355,              0.0009506,              0.0009506,              0.0009506
                     55,                 3.1965,                 1.6591,                 1.9314,                0.90134,                0.75021,                0.84492,                0.51261,                 1.1908,                0.85904,                0.74905,              0.0009308,              0.0009308,              0.0009308
                     56,                 3.2119,                 1.6494,                 1.9215,                0.90303,                0.75295,                0.84498,                 0.5067,                 1.2148,                 1.1882,                0.75453,               0.000911,               0.000911,               0.000911
