                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 3.4245,                 1.7984,                 1.9752,                0.87665,                0.72599,                0.81993,                 0.4811,                 1.2504,                 4.7476,                0.76834,              0.0016634,              0.0016634,              0.0016634
                     36,                 3.3388,                 1.7807,                 1.9696,                0.88551,                0.74389,                0.83085,                0.48946,                 1.2571,                 1.9721,                0.77585,              0.0016535,              0.0016535,              0.0016535
                     37,                   3.41,                 1.8041,                 1.9797,                0.90024,                0.72852,                0.82903,                0.49828,                 1.2249,                0.66166,                0.76549,              0.0016436,              0.0016436,              0.0016436
                     38,                 3.4564,                 1.8043,                 1.9674,                0.87913,                0.73834,                0.82986,                0.50018,                 1.2227,                0.70783,                0.76047,              0.0016337,              0.0016337,              0.0016337
                     39,                  3.285,                 1.7113,                  1.955,                0.88424,                0.74937,                0.83603,                0.50009,                 1.2252,                0.85172,                0.75888,              0.0016238,              0.0016238,              0.0016238
                     40,                 3.3401,                 1.7344,                 1.9555,                0.89559,                0.74249,                0.83795,                0.49525,                 1.2273,                0.85617,                0.76027,              0.0016139,              0.0016139,              0.0016139
                     41,                 3.4021,                 1.7976,                 1.9752,                 0.8944,                0.73842,                0.83265,                0.50054,                 1.2235,                 2.1256,                 0.7611,               0.001604,               0.001604,               0.001604
                     42,                 3.3104,                 1.7151,                 1.9447,                0.89151,                0.73727,                0.82904,                 0.4967,                 1.2217,                0.83593,                0.75985,              0.0015941,              0.0015941,              0.0015941
                     43,                 3.3619,                 1.7981,                 1.9675,                0.88379,                0.73357,                0.83061,                0.50347,                 1.2098,                 2.3139,                0.75575,              0.0015842,              0.0015842,              0.0015842
                     44,                 3.3046,                 1.7176,                 1.9642,                0.89303,                0.73926,                0.83248,                 0.5021,                 1.2286,                 1.0537,                 0.7672,              0.0015743,              0.0015743,              0.0015743
                     45,                 3.3735,                 1.7746,                 1.9629,                0.89096,                0.74284,                0.83819,                0.48572,                 1.2552,                0.86013,                0.76492,              0.0015644,              0.0015644,              0.0015644
                     46,                 3.3384,                 1.7693,                  1.955,                0.89524,                0.74516,                0.83394,                0.49548,                 1.2202,                 1.4174,                0.76016,              0.0015545,              0.0015545,              0.0015545
                     47,                  3.328,                 1.7367,                 1.9486,                0.89044,                0.75834,                0.84388,                0.50676,                 1.2092,                 0.9831,                0.75861,              0.0015446,              0.0015446,              0.0015446
                     48,                  3.232,                 1.6633,                 1.9445,                0.89387,                0.74094,                0.83626,                0.49796,                 1.2334,                 0.9349,                0.75949,              0.0015347,              0.0015347,              0.0015347
                     49,                 3.3021,                 1.7237,                 1.9626,                 0.8912,                0.75147,                 0.8451,                0.51264,                 1.2003,                 1.6264,                0.75793,              0.0015248,              0.0015248,              0.0015248
                     50,                  3.234,                 1.6566,                 1.9327,                0.89641,                 0.7481,                0.83859,                 0.4967,                 1.2407,                0.89037,                0.76479,              0.0015149,              0.0015149,              0.0015149
                     51,                 3.3096,                  1.737,                 1.9635,                0.89931,                0.74621,                0.84556,                0.50575,                 1.2083,                0.73656,                0.75505,               0.001505,               0.001505,               0.001505
                     52,                 3.2801,                 1.6741,                 1.9378,                 0.8916,                0.76226,                0.84538,                0.51706,                 1.1962,                 1.1622,                 0.7523,              0.0014951,              0.0014951,              0.0014951
                     53,                 3.3099,                 1.7135,                 1.9527,                0.89319,                0.75731,                0.84318,                0.51733,                 1.1899,                 0.6777,                0.75578,              0.0014852,              0.0014852,              0.0014852
