                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.9971,                 1.5978,                 2.2336,                0.65562,                0.39659,                0.38729,                0.21346,                 3.2062,                 1.6038,                 2.3554,             0.00061203,             0.00061203,             0.00061203
                     35,                 2.9828,                 1.6055,                 2.2345,                0.65414,                0.40662,                0.38966,                0.20916,                 3.2144,                 1.5823,                 2.3634,             0.00060303,             0.00060303,             0.00060303
                     36,                 2.9505,                 1.5893,                 2.2155,                 0.6416,                0.40089,                0.39159,                 0.2128,                 3.2462,                 1.5467,                 2.3829,             0.00059403,             0.00059403,             0.00059403
                     37,                 2.9256,                 1.5699,                 2.2254,                0.66179,                0.40821,                0.39539,                0.21111,                 3.2034,                 1.5339,                 2.3737,             0.00058503,             0.00058503,             0.00058503
                     38,                 2.9108,                 1.5455,                 2.2258,                0.63391,                0.41538,                0.40917,                 0.2213,                  3.238,                  1.566,                 2.4064,             0.00057603,             0.00057603,             0.00057603
                     39,                  2.916,                  1.553,                 2.2178,                 0.6662,                0.37316,                0.37877,                0.20285,                 3.2311,                  1.561,                 2.3865,             0.00056703,             0.00056703,             0.00056703
                     40,                 2.9111,                 1.5407,                 2.2058,                0.69367,                0.39131,                0.39648,                0.20913,                  3.296,                 1.5662,                 2.3766,             0.00055804,             0.00055804,             0.00055804
                     41,                 2.9257,                 1.5593,                 2.2065,                0.66281,                0.40223,                0.40258,                0.21321,                 3.2066,                  1.539,                 2.3682,             0.00054904,             0.00054904,             0.00054904
                     42,                 2.9122,                 1.5381,                 2.2037,                0.66107,                0.40585,                0.40755,                0.21416,                 3.3026,                 1.5352,                  2.402,             0.00054004,             0.00054004,             0.00054004
                     43,                 2.8935,                 1.5399,                 2.1981,                0.63708,                0.42854,                0.40533,                0.21695,                 3.2073,                 1.5084,                 2.3619,             0.00053104,             0.00053104,             0.00053104
                     44,                 2.8401,                 1.4734,                 2.1894,                0.67166,                0.39262,                0.41468,                 0.2242,                 3.2766,                 1.5307,                 2.3949,             0.00052204,             0.00052204,             0.00052204
                     45,                 2.8664,                 1.4912,                 2.1861,                0.66339,                0.42089,                0.40651,                0.22585,                 3.1786,                   1.52,                 2.3426,             0.00051304,             0.00051304,             0.00051304
                     46,                 2.8609,                 1.4865,                 2.1945,                0.66559,                 0.3694,                0.39756,                 0.2136,                 3.2443,                 1.5278,                 2.3662,             0.00050404,             0.00050404,             0.00050404
                     47,                 2.8415,                 1.4701,                 2.1767,                0.68417,                0.39695,                0.39954,                0.21314,                 3.1992,                 1.5193,                  2.366,             0.00049504,             0.00049504,             0.00049504
                     48,                   2.83,                 1.4677,                 2.1832,                0.66711,                0.40697,                0.41368,                0.21922,                 3.2458,                 1.5276,                 2.3897,             0.00048604,             0.00048604,             0.00048604
                     49,                 2.8361,                 1.4719,                 2.1792,                0.68618,                0.38785,                0.39682,                 0.2184,                 3.2201,                 1.5307,                  2.365,             0.00047704,             0.00047704,             0.00047704
                     50,                 2.8335,                 1.4495,                 2.1649,                0.52284,                 0.4052,                0.40039,                0.21731,                 3.2033,                 1.5276,                 2.3461,             0.00046804,             0.00046804,             0.00046804
                     51,                 2.8597,                 1.4743,                 2.1673,                0.63407,                0.43144,                0.41206,                 0.2241,                 3.2089,                 1.4886,                 2.3658,             0.00045904,             0.00045904,             0.00045904
                     52,                 2.8019,                 1.4393,                 2.1706,                0.67515,                0.37921,                0.41311,                0.22726,                 3.2211,                 1.5064,                 2.3814,             0.00045005,             0.00045005,             0.00045005
                     53,                 2.8113,                 1.4528,                 2.1559,                0.55905,                0.37476,                0.38528,                0.20729,                 3.2207,                 1.5202,                 2.3695,             0.00044105,             0.00044105,             0.00044105
                     54,                 2.8188,                 1.4621,                 2.1588,                0.68073,                0.39025,                0.41825,                0.22355,                 3.2274,                 1.4997,                 2.3988,             0.00043205,             0.00043205,             0.00043205
