                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 3.6062,                 2.8193,                 1.8337,                0.33555,                0.40022,                 0.3184,                0.18572,                 3.2941,                 3.1855,                 1.9084,             0.00073704,             0.00073704,             0.00073704
                     36,                 3.4777,                 2.7967,                 1.8467,                0.33695,                 0.3759,                0.29615,                0.16586,                 3.4289,                 3.2982,                 1.9487,             0.00072604,             0.00072604,             0.00072604
                     37,                 3.5266,                 2.7832,                 1.8465,                0.36111,                0.36964,                0.31021,                 0.1665,                 3.5046,                 3.4657,                 1.9802,             0.00071504,             0.00071504,             0.00071504
                     38,                 3.4579,                 2.7817,                 1.8537,                0.36962,                0.40076,                0.33698,                0.19058,                 3.4317,                 3.2232,                 1.9575,             0.00070404,             0.00070404,             0.00070404
                     39,                  3.498,                 2.7608,                 1.8517,                0.36964,                  0.389,                0.32018,                  0.187,                  3.355,                 3.1909,                 1.9353,             0.00069304,             0.00069304,             0.00069304
                     40,                 3.4823,                 2.7402,                 1.8468,                0.37167,                0.41045,                0.34555,                0.18971,                 3.5543,                 3.2587,                 1.9668,             0.00068204,             0.00068204,             0.00068204
                     41,                 3.4308,                  2.675,                 1.8367,                0.41689,                0.37339,                0.35061,                0.20401,                 3.3413,                 3.2665,                 1.9322,             0.00067104,             0.00067104,             0.00067104
                     42,                 3.4212,                 2.6877,                 1.8532,                0.32555,                 0.3734,                0.30363,                0.17733,                 3.3812,                 3.4041,                 1.9425,             0.00066005,             0.00066005,             0.00066005
                     43,                 3.5507,                 2.6389,                  1.841,                0.43421,                0.38451,                 0.3538,                0.20353,                 3.4028,                 3.0723,                 1.9516,             0.00064905,             0.00064905,             0.00064905
                     44,                 3.5649,                 2.7377,                 1.8409,                0.39109,                0.38368,                 0.3468,                0.20455,                 3.3363,                 3.3548,                 1.9341,             0.00063805,             0.00063805,             0.00063805
                     45,                 3.4697,                 2.6749,                 1.8295,                0.41323,                 0.3883,                0.33685,                0.19249,                 3.4033,                 3.3342,                   1.95,             0.00062705,             0.00062705,             0.00062705
                     46,                 3.4966,                 2.6842,                 1.8245,                0.40963,                0.39022,                0.34666,                0.19114,                 3.4973,                 3.2113,                 1.9802,             0.00061605,             0.00061605,             0.00061605
                     47,                  3.367,                 2.6018,                  1.846,                0.40729,                0.35882,                0.32535,                0.18392,                 3.4785,                 3.2984,                 1.9682,             0.00060505,             0.00060505,             0.00060505
                     48,                 3.4595,                  2.608,                 1.8274,                0.43613,                0.38976,                0.36411,                0.20912,                 3.3766,                 3.5025,                 1.9592,             0.00059405,             0.00059405,             0.00059405
                     49,                  3.399,                 2.5886,                 1.8332,                 0.3845,                0.38979,                0.33474,                0.19287,                 3.3993,                 3.2324,                  1.952,             0.00058305,             0.00058305,             0.00058305
                     50,                 3.4266,                 2.5998,                 1.8234,                0.43802,                0.37785,                0.36743,                0.20482,                 3.4811,                 3.5808,                 1.9572,             0.00057205,             0.00057205,             0.00057205
                     51,                 3.4816,                 2.5526,                 1.8334,                0.41215,                0.38019,                0.35113,                0.20416,                 3.2949,                 3.1694,                 1.9341,             0.00056105,             0.00056105,             0.00056105
                     52,                 3.4254,                 2.5288,                 1.8395,                0.40708,                0.39001,                0.35263,                0.19307,                 3.4621,                 3.5046,                 1.9925,             0.00055006,             0.00055006,             0.00055006
                     53,                 3.4669,                 2.5474,                 1.8344,                 0.4404,                0.37755,                0.35939,                0.20087,                  3.449,                 3.5023,                 1.9709,             0.00053906,             0.00053906,             0.00053906
                     54,                 3.3148,                 2.4775,                 1.8268,                0.43263,                0.37286,                0.35568,                0.20693,                 3.3385,                 3.4168,                  1.955,             0.00052806,             0.00052806,             0.00052806
                     55,                 3.4797,                 2.5031,                 1.8208,                 0.4503,                0.40043,                0.37721,                0.21291,                 3.3787,                 3.0908,                 1.9506,             0.00051706,             0.00051706,             0.00051706
                     56,                 3.3763,                 2.5068,                 1.8241,                0.39676,                0.37883,                0.33469,                0.19694,                 3.3027,                 3.4463,                 1.9535,             0.00050606,             0.00050606,             0.00050606
