iter	Passed	Remaining
353	52865	96472
354	53013	96319
355	53157	96160
356	53282	95969
357	53445	95843
358	53604	95712
359	53731	95522
360	53856	95331
361	53998	95168
362	54129	94988
363	54283	94847
364	54425	94684
365	54582	94550
366	54715	94373
367	54865	94226
368	55014	94076
369	55148	93901
370	55278	93719
371	55419	93558
372	55555	93387
373	55705	93240
374	55847	93078
375	55983	92908
376	56131	92758
377	56265	92585
378	56397	92408
379	56529	92232
380	56649	92037
381	56782	91862
382	56937	91723
383	57090	91582
384	57241	91438
385	57391	91291
386	57542	91146
387	57684	90986
388	57817	90814
389	57974	90678
390	58148	90568
391	58309	90439
392	58455	90285
393	58597	90127
394	58746	89978
395	58885	89815
396	59031	89661
397	59198	89540
398	59347	89393
399	59497	89245
400	59650	89104
401	59795	88949
402	59947	88805
403	60090	88648
404	60236	88494
405	60405	88376
406	60629	88336
407	60767	88172
408	60944	88063
409	61103	87928
410	61260	87792
411	61422	87660
412	61574	87516
413	61732	87380
414	61896	87251
415	62057	87119
416	62207	86970
417	62348	86810
418	62581	86777
419	62733	86631
420	62926	86542
421	63182	86539
422	63333	86391
423	63509	86277
424	63783	86295
425	63970	86194
426	64149	86083
427	64321	85962
428	64514	85869
429	64684	85744
430	64851	85616
431	65033	85507
432	65214	85396
433	65389	85277
434	65550	85140
435	65698	84985
436	65853	84840
437	66047	84746
438	66204	84602
439	66371	84472
440	66525	84326
441	66671	84169
442	66842	84043
443	66989	83887
444	67131	83725
445	67273	83563
446	67440	83432
447	67594	83286
448	67765	83160
449	67921	83014
450	68076	82868
451	68229	82720
452	68386	82576
453	68545	82435
454	68698	82287
455	68857	82146
456	69012	82000
457	69164	81849
458	69313	81695
459	69475	81557
460	69637	81419
461	69786	81266
462	69952	81133
463	70124	81005
464	70283	80863
465	70453	80734
466	70611	80590
467	70778	80458
468	70963	80344
469	71120	80199
470	71277	80055
471	71428	79902
472	71596	79769
473	71776	79650
474	71944	79517
475	72125	79398
476	72299	79271
477	72470	79141
478	72620	78987
479	72792	78858
480	72959	78723
481	73163	78627
482	73338	78500
483	73498	78357
484	73646	78201
485	73831	78085
486	73971	77920
487	74128	77773
488	74291	77634
489	74427	77465
490	74574	77308
491	74719	77149
492	74889	77016
493	75055	76879
494	75209	76728
495	75362	76577
496	75527	76438
497	75669	76277
498	75924	76228
499	76096	76096
500	76287	75983
501	76435	75826
502	76550	75636
503	76643	75427
504	76761	75241
505	76892	75069
506	77005	74879
507	77119	74690
508	77230	74499
509	77344	74310
510	77460	74125
511	77570	73934
512	77676	73739
513	77796	73558
514	77907	73369
515	78013	73175
516	78113	72976
517	78223	72786
518	78338	72602
519	78455	72420
520	78563	72230
521	78680	72048
522	78795	71865
523	78918	71689
524	79030	71503
525	79150	71325
526	79270	71148
527	79389	70969
528	79502	70785
529	79634	70619
530	79770	70456
531	79892	70280
532	80001	70094
533	80116	69914
534	80245	69745
535	80367	69571
536	80483	69392
537	80607	69220
538	80723	69041
539	80847	68870
540	80955	68685
541	81073	68508
542	81177	68320
543	81279	68131
544	81404	67961
545	81517	67782
546	81638	67608
547	81763	67439
548	81884	67267
549	82010	67099
550	82121	66919
551	82229	66737
552	82356	66569
553	82471	66393
554	82585	66216
555	82703	66043
556	82825	65873
557	82959	65713
558	83102	65559
559	83243	65405
560	83390	65255
561	83534	65103
562	83676	64949
563	83813	64791
564	83925	64614
565	84046	64445
566	84158	64269
567	84262	64087
568	84374	63910
569	84477	63728
570	84591	63554
571	84715	63388
572	84856	63235
573	84970	63061
574	85075	62882
575	85195	62713
576	85321	62549
577	85437	62378
578	85546	62202
579	85660	62029
580	85775	61858
581	85893	61690
582	86018	61526
583	86141	61360
584	86264	61196
585	86375	61022
586	86478	60844
587	86593	60674
588	86704	60501
589	86832	60341
590	86946	60170
591	87068	60006
592	87201	59849
593	87322	59685
594	87438	59517
595	87550	59346
596	87663	59176
597	87781	59010
598	87886	58835
599	88011	58674
600	88125	58505
601	88282	58366
602	88413	58208
603	88510	58030
604	88613	57855
605	88726	57686
606	88869	57538
607	88994	57378
608	89104	57208
609	89212	57037
610	89326	56870
611	89433	56699
612	89549	56534
613	89673	56374
614	89785	56207
615	89897	56039
616	90009	55872
617	90121	55706
618	90222	55532
619	90338	55368
620	90440	55196
621	90540	55022
622	90635	54846
623	90735	54673
624	90841	54505
625	90938	54330
626	91037	54157
627	91142	53988
628	91245	53818
629	91356	53653
630	91445	53475
631	91555	53310
632	91657	53140
633	91764	52974
634	91872	52808
635	91970	52637
636	92071	52467
637	92182	52303
638	92289	52138
639	92395	51972
640	92493	51802
641	92598	51635
642	92754	51497
643	92852	51328
644	92957	51162
645	93062	50997
646	93176	50836
647	93280	50670
648	93385	50505
649	93493	50342
650	93600	50179
651	93707	50015
652	93805	49847
653	93914	49685
654	94021	49522
655	94113	49352
656	94223	49191
657	94321	49024
658	94418	48856
659	94520	48692
660	94621	48527
661	94733	48368
662	94848	48210
663	94952	48048
664	95053	47884
665	95157	47721
666	95265	47561
667	95369	47399
668	95472	47236
669	95582	47077
670	95684	46915
671	95794	46756
672	95920	46606
673	96019	46442
674	96135	46287
675	96234	46124
676	96358	45973
677	96466	45814
678	96561	45649
679	96657	45485
680	96762	45326
681	96861	45164
682	96970	45006
683	97067	44844
684	97154	44676
685	97262	44519
686	97362	44358
687	97452	44193
688	97542	44028
689	97643	43868
690	97768	43720
691	97874	43562
692	97974	43402
693	98077	43244
694	98181	43086
695	98282	42928
696	98384	42769
697	98486	42611
698	98574	42447
699	98665	42285
700	98770	42129
701	98865	41968
702	98960	41808
703	99060	41650
704	99170	41496
705	99267	41338
706	99378	41185
707	99467	41023
708	99570	40867
709	99687	40717
710	99803	40566
711	99905	40411
712	100007	40255
713	100099	40095
714	100202	39940
715	100303	39785
716	100398	39627
717	100500	39472
718	100597	39315
719	100707	39163
720	100799	39005
721	100889	38846
722	101052	38716
723	101291	38614
724	101481	38492
725	101617	38351
726	101750	38208
727	101850	38053
728	101955	37901
729	102071	37752
730	102208	37611
731	102432	37502
732	102575	37363
733	102705	37220
734	102813	37068
735	102914	36914
736	103024	36764
737	103129	36612
738	103234	36460
739	103342	36309
740	103446	36157
741	103550	36005
742	103659	35855
743	103773	35707
744	103885	35558
745	103983	35404
746	104095	35255
747	104207	35107
748	104316	34957
749	104421	34807
750	104523	34655
751	104623	34503
752	104741	34357
753	104846	34207
754	104965	34061
755	105067	33910
756	105165	33758
757	105289	33614
758	105389	33463
759	105494	33313
760	105616	33169
761	105721	33020
762	105833	32873
763	105941	32725
764	106046	32576
765	106155	32428
766	106286	32287
767	106396	32140
768	106504	31992
769	106624	31848
770	106731	31701
771	106837	31552
772	106950	31407
773	107060	31260
774	107161	31111
775	107273	30965
776	107379	30817
777	107505	30676
778	107617	30530
779	107729	30385
780	107827	30235
781	107935	30089
782	108054	29946
783	108170	29802
784	108286	29657
785	108371	29505
786	108453	29352
787	108531	29198
788	108628	29050
789	108717	28899
790	108813	28750
791	108900	28600
792	108990	28450
793	109076	28299
794	109155	28147
795	109251	27999
796	109339	27849
797	109428	27699
798	109534	27554
799	109654	27413
800	109786	27275
801	109893	27130
802	109990	26984
803	110093	26838
804	110175	26688
805	110256	26538
806	110329	26386
807	110396	26232
808	110471	26081
809	110550	25931
810	110622	25780
811	110697	25629
812	110775	25479
813	110845	25328
814	110919	25178
815	110990	25027
816	111063	24877
817	111134	24726
818	111205	24576
819	111292	24430
820	111359	24279
821	111421	24127
822	111489	23977
823	111558	23828
824	111649	23683
825	111719	23534
826	111789	23385
827	111862	23237
828	111917	23085
829	111979	22935
830	112037	22785
831	112098	22635
832	112164	22486
833	112223	22337
834	112285	22188
835	112348	22039
836	112408	21890
837	112477	21743
838	112537	21595
839	112608	21449
840	112676	21302
841	112735	21154
842	112794	21006
843	112857	20859
844	112919	20713
845	112981	20566
846	113047	20420
847	113109	20274
848	113170	20128
849	113235	19982
850	113315	19840
851	113391	19697
852	113459	19552
853	113528	19408
854	113596	19264
855	113663	19120
856	113725	18976
857	113785	18831
858	113855	18688
859	113924	18545
860	113995	18403
861	114064	18260
862	114132	18118
863	114206	17976
864	114285	17836
865	114360	17695
866	114432	17554
867	114510	17414
868	114587	17273
869	114655	17132
870	114727	16991
871	114798	16851
872	114865	16710
873	114934	16569
874	115010	16430
875	115085	16290
876	115164	16151
877	115247	16013
878	115315	15873
879	115387	15734
880	115462	15595
881	115525	15455
882	115596	15316
883	115669	15178
884	115738	15039
885	115806	14900
886	115880	14762
887	115944	14623
888	116011	14485
889	116075	14346
890	116137	14207
891	116206	14069
892	116281	13932
893	116348	13795
894	116412	13657
895	116476	13519
896	116544	13382
897	116617	13246
898	116681	13108
899	116747	12971
900	116819	12835
901	116890	12699
902	116951	12562
903	117015	12426
904	117083	12290
905	117150	12154
906	117221	12019
907	117283	11883
908	117350	11747
909	117434	11614
910	117497	11478
911	117570	11344
912	117640	11209
913	117704	11075
914	117770	10940
915	117843	10806
916	117908	10672
917	117995	10539
918	118062	10405
919	118128	10272
920	118200	10138
921	118267	10005
922	118334	9871
923	118403	9738
924	118469	9605
925	118536	9472
926	118623	9341
927	118685	9208
928	118753	9075
929	118829	8944
930	118893	8811
931	118962	8679
932	119039	8548
933	119108	8416
934	119177	8285
935	119253	8154
936	119324	8022
937	119393	7891
938	119461	7760
939	119527	7629
940	119600	7498
941	119672	7368
942	119737	7237
943	119838	7109
944	119915	6979
945	119982	6848
946	120055	6719
947	120123	6589
948	120188	6459
949	120265	6329
950	120333	6200
951	120400	6070
952	120467	5941
953	120530	5811
954	120596	5682
955	120657	5553
956	120734	5424
957	120805	5296
958	120890	5168
959	120974	5040
960	121089	4914
961	121190	4787
962	121278	4659
963	121346	4531
964	121405	4403
965	121471	4275
966	121544	4147
967	121612	4020
968	121685	3892
969	121765	3765
970	121833	3638
971	121912	3511
972	121982	3384
973	122052	3258
974	122126	3131
975	122205	3005
976	122273	2878
977	122342	2752
978	122407	2625
979	122482	2499
980	122560	2373
981	122629	2247
982	122698	2121
983	122759	1996
984	122827	1870
985	122902	1745
986	122969	1619
987	123044	1494
988	123116	1369
989	123189	1244
990	123254	1119
991	123324	994
992	123406	869
993	123476	745
994	123561	620
995	123634	496
996	123710	372
997	123781	248
998	123850	123
999	123917	0
