iter	RMSE
0	11.64677561
1	11.64097809
2	11.63645022
3	11.63277419
4	11.62996778
5	11.6276862
6	11.62588031
7	11.6243611
8	11.62320353
9	11.62228113
10	11.62153005
11	11.6209404
12	11.6204029
13	11.62000825
14	11.61967826
15	11.61939385
16	11.61911612
17	11.61891575
18	11.61871383
19	11.61849492
20	11.61833718
21	11.61820024
22	11.61808366
23	11.61796876
24	11.61784999
25	11.61770929
26	11.61759596
27	11.61744574
28	11.61727866
29	11.61718407
30	11.61704981
31	11.61695449
32	11.61673134
33	11.61654074
34	11.61635364
35	11.61620932
36	11.61611493
37	11.6159678
38	11.61580764
39	11.61571009
40	11.61560341
41	11.61546474
42	11.61530388
43	11.61516746
44	11.61502735
45	11.61488125
46	11.61473602
47	11.61460429
48	11.61446944
49	11.61434095
50	11.61420579
51	11.61408018
52	11.61393106
53	11.6138198
54	11.61365627
55	11.61352756
56	11.61342567
57	11.61332539
58	11.61320584
59	11.61313707
60	11.61302048
61	11.6128565
62	11.61274033
63	11.61258802
64	11.61247932
65	11.6123905
66	11.61222628
67	11.61214641
68	11.61205622
69	11.61194085
70	11.61186903
71	11.61178835
72	11.61169031
73	11.61159273
74	11.61149045
75	11.61137389
76	11.61130432
77	11.61119242
78	11.61108594
79	11.61102504
80	11.610899
81	11.61077327
82	11.6106312
83	11.61049326
84	11.61036818
85	11.61026996
86	11.61015211
87	11.61009383
88	11.61000751
89	11.60991811
90	11.60981386
91	11.60969935
92	11.60954016
93	11.60945191
94	11.60932204
95	11.60918855
96	11.60908512
97	11.60900254
98	11.60887364
99	11.6087179
100	11.60856066
101	11.60845795
102	11.6083699
103	11.6082952
104	11.60814614
105	11.60806317
106	11.6079022
107	11.60778478
108	11.60765172
109	11.60753486
110	11.60743506
111	11.60731854
112	11.6071957
113	11.60712361
114	11.60693475
115	11.60682733
116	11.60670083
117	11.60656815
118	11.60645367
119	11.60634372
120	11.60622688
121	11.60609838
122	11.60601107
123	11.60586477
124	11.60572925
125	11.60558147
126	11.60544271
127	11.60531998
128	11.60516657
129	11.60504062
130	11.60493477
131	11.60481231
132	11.60466665
133	11.60452179
134	11.60441008
135	11.60426282
136	11.60413274
137	11.6039818
138	11.60386273
139	11.60374008
140	11.60359962
141	11.60348197
142	11.60336112
143	11.60322655
144	11.60310394
145	11.60295315
146	11.60279662
147	11.60268103
148	11.60255815
149	11.60242461
150	11.60226177
151	11.60211153
152	11.60194904
153	11.60181407
154	11.60163475
155	11.60149393
156	11.60133949
157	11.60119266
158	11.60103928
159	11.6009184
160	11.60078106
161	11.60062527
162	11.60049588
163	11.60037601
164	11.60023929
165	11.60013446
166	11.59997566
167	11.59977908
168	11.59964588
169	11.5994892
170	11.59934378
171	11.59920078
172	11.59905785
173	11.59889211
174	11.59872903
175	11.59861331
176	11.59848706
177	11.59833671
178	11.59823225
179	11.59807115
180	11.59792536
181	11.59780374
182	11.59766053
183	11.59753937
184	11.59738522
185	11.59728753
186	11.59717018
187	11.59697336
188	11.59685591
189	11.59674256
190	11.59662987
191	11.59651712
192	11.59636231
193	11.59626841
194	11.59610312
195	11.5959898
196	11.5958371
197	11.59572546
198	11.59557583
199	11.59542751
200	11.59531683
201	11.59517262
202	11.59507481
203	11.594962
204	11.59485266
205	11.594764
206	11.59464639
207	11.59453733
208	11.59440634
209	11.59427978
210	11.59413425
211	11.59397889
212	11.5938289
213	11.59368108
214	11.59354878
215	11.5934255
216	11.59329886
217	11.59318125
218	11.59301822
219	11.59287933
220	11.59278406
221	11.59267438
222	11.59253461
223	11.59239085
224	11.59227072
225	11.5921225
226	11.59199847
227	11.59184908
228	11.59170139
229	11.59153187
230	11.59137225
231	11.59123806
232	11.59105484
233	11.59091389
234	11.59078238
235	11.59064096
236	11.59049703
237	11.59034232
238	11.59022044
239	11.59008552
240	11.58996987
241	11.58983543
242	11.58970475
243	11.58953836
244	11.58940058
245	11.58926529
246	11.58916657
247	11.58901179
248	11.5888957
249	11.58877062
250	11.58865256
251	11.58850387
252	11.58837447
253	11.58822045
254	11.58810639
255	11.58796674
256	11.58786209
257	11.58771981
258	11.58754611
259	11.58741868
260	11.58729464
261	11.58720321
262	11.58709374
263	11.5869299
264	11.58680794
265	11.58664476
266	11.58650327
267	11.58636654
268	11.58622212
269	11.58611397
270	11.58599506
271	11.58584474
272	11.58573288
273	11.58560861
274	11.58548313
275	11.58537431
276	11.58528701
277	11.58518122
278	11.58508992
279	11.58495322
280	11.58485066
281	11.58471609
282	11.5845961
283	11.58443241
284	11.58431432
285	11.58422315
286	11.58414337
287	11.58400878
288	11.58384184
289	11.58369121
290	11.58359155
291	11.58344471
292	11.58332917
293	11.58318867
294	11.58304927
295	11.58292611
296	11.58279151
297	11.5826476
298	11.58254326
299	11.5824141
300	11.5823083
301	11.5822201
302	11.58208292
303	11.58195728
304	11.58183826
305	11.58170808
306	11.58160665
307	11.5815066
308	11.58135732
309	11.58123565
310	11.5810839
311	11.58091539
312	11.58080318
313	11.58070924
314	11.58060118
315	11.58046057
316	11.58030725
317	11.58018967
318	11.58006421
319	11.57993671
320	11.57979466
321	11.57965977
322	11.5795233
323	11.57941714
324	11.57930342
325	11.57921217
326	11.57908551
327	11.57897129
328	11.57884815
329	11.5787398
330	11.578647
331	11.57850759
332	11.57836941
333	11.57824272
334	11.57809015
335	11.57795892
336	11.57788155
337	11.57776378
338	11.57763682
339	11.57753821
340	11.577398
341	11.57726948
342	11.5771337
343	11.57700991
344	11.57689848
345	11.57679224
346	11.57667732
347	11.57653118
348	11.5764184
349	11.57630729
350	11.57620349
351	11.57610316
352	11.57597099
353	11.57585419
354	11.57574015
355	11.57561675
356	11.57547858
357	11.57535793
358	11.57525533
359	11.57510165
360	11.57499375
361	11.57486405
362	11.57473204
363	11.57463274
364	11.57449821
365	11.5743858
366	11.57426043
367	11.57413954
368	11.57402128
369	11.57392283
370	11.57378189
371	11.5736799
372	11.57355159
373	11.57343016
374	11.5733315
375	11.57321789
376	11.57310118
377	11.5729914
378	11.57286614
379	11.57274231
380	11.57266602
381	11.57255961
382	11.57242079
383	11.57228641
384	11.57215295
385	11.57199763
386	11.57185815
387	11.57171799
388	11.57158076
389	11.57142739
390	11.5713159
391	11.57120776
392	11.57105289
393	11.57094378
394	11.57081326
395	11.57069115
396	11.57059785
397	11.57047047
398	11.57038871
399	11.57026313
400	11.57014704
401	11.57003343
402	11.56988759
403	11.56976766
404	11.56967755
405	11.56954305
406	11.56940919
407	11.56929613
408	11.5691827
409	11.56906526
410	11.56893192
411	11.56880499
412	11.56871017
413	11.56856232
414	11.56845083
415	11.56833791
416	11.56825163
417	11.56817072
418	11.5680459
419	11.56792465
420	11.56782292
421	11.56769851
422	11.56758086
423	11.5675032
424	11.56736049
425	11.5672417
426	11.5670997
427	11.56698996
428	11.56683831
429	11.56671571
430	11.56661888
431	11.56649646
432	11.56636204
433	11.56625296
434	11.56618304
435	11.56607737
436	11.56596372
437	11.56584476
438	11.56576236
439	11.56564941
440	11.56552456
441	11.5654067
442	11.5652651
443	11.56516541
444	11.56506677
445	11.5649498
446	11.56481445
447	11.56470217
448	11.5645718
449	11.5644399
450	11.56430293
451	11.564212
452	11.56408131
453	11.56394765
454	11.56385648
455	11.56373873
456	11.56362684
457	11.56350521
458	11.56341075
459	11.5632782
460	11.56316524
461	11.56307462
462	11.56294574
463	11.56283243
464	11.56270777
465	11.56258232
466	11.56247151
467	11.56235951
468	11.56219276
469	11.56208493
470	11.56197879
471	11.56190732
472	11.5617516
473	11.56164694
474	11.56152031
475	11.56142547
476	11.56131373
477	11.56120611
478	11.56109885
479	11.56096557
480	11.56087955
481	11.56075236
482	11.56062832
483	11.56051229
484	11.56040235
485	11.56028669
486	11.56018844
487	11.56005418
488	11.55992227
489	11.55982239
490	11.55970449
491	11.5595924
492	11.55946316
493	11.55935351
494	11.55922747
495	11.5591311
496	11.55900496
497	11.55889402
498	11.55880053
499	11.55870076
500	11.55855646
501	11.5584551
502	11.55833992
503	11.55825397
504	11.55813024
505	11.5580211
506	11.5578975
507	11.55778937
508	11.55765927
509	11.55750556
510	11.55737408
511	11.55728773
512	11.5571637
513	11.55705593
514	11.55700083
515	11.55688832
516	11.55681116
517	11.5567287
518	11.55662972
519	11.55650471
520	11.55638999
521	11.55629139
522	11.55616119
523	11.55603286
524	11.55589778
525	11.55578565
526	11.555676
527	11.5555451
528	11.55544694
529	11.55533714
530	11.55521894
531	11.55510076
532	11.55499136
533	11.55487344
534	11.55475695
535	11.55467028
536	11.55453876
537	11.55442551
538	11.554333
539	11.55418707
540	11.55404673
541	11.55393581
542	11.55384505
543	11.55372035
544	11.55361771
545	11.55351575
546	11.55338687
547	11.5532668
548	11.55314277
549	11.55302077
550	11.55291203
551	11.55276723
552	11.55266163
553	11.55256241
554	11.55243454
555	11.55230374
556	11.55218172
557	11.55207302
558	11.55197478
559	11.55187238
560	11.55175999
561	11.5516102
562	11.55149277
563	11.551388
564	11.55126966
565	11.55116708
566	11.5510342
567	11.55092785
568	11.55083674
569	11.55072698
570	11.55057796
571	11.55048869
572	11.5503612
573	11.55026529
574	11.55018517
575	11.5500884
576	11.54996699
577	11.54984187
578	11.54977557
579	11.54966363
580	11.54957252
581	11.54947475
582	11.54936158
583	11.54925247
584	11.54915118
585	11.54906408
586	11.54898409
587	11.54887916
588	11.54876044
589	11.54867307
590	11.54854258
591	11.54842962
592	11.54829034
593	11.54816687
594	11.54806884
595	11.54794882
596	11.54783036
597	11.54772909
598	11.54763748
599	11.54753655
600	11.5474404
601	11.54732965
602	11.54718576
603	11.54709965
604	11.54700136
605	11.5468891
606	11.54679549
607	11.54674055
608	11.54661685
609	11.54649956
610	11.54638875
611	11.54628121
612	11.54619965
613	11.54607337
614	11.54596603
615	11.54587216
616	11.54573478
617	11.54562151
618	11.54549306
619	11.54537694
620	11.54527074
621	11.54517231
622	11.54508031
623	11.544976
624	11.54487985
625	11.54475294
626	11.54465774
627	11.54452496
628	11.54441407
629	11.54433776
630	11.54426496
631	11.54416382
632	11.54404608
633	11.54396074
634	11.54383823
635	11.54374161
636	11.54365462
637	11.54354122
638	11.54342544
639	11.54334014
640	11.54323921
641	11.54312662
642	11.5430241
643	11.54289688
644	11.54282016
645	11.5427357
646	11.54258141
647	11.54248368
648	11.54237337
649	11.54226454
