epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1261.52,1.76972,1.06955,1.68561,0.8871,0.84189,0.89214,0.31324,2.14601,1.14623,2.01172,0.0011882,0.0011882,0.0011882
43,1288.9,1.77287,1.05998,1.69725,0.57182,0.48214,0.51188,0.14848,2.55563,1.77727,2.49673,0.0011684,0.0011684,0.0011684
44,1324.09,1.74689,1.09347,1.69597,0.59728,0.58265,0.58305,0.17204,2.49473,1.65449,2.46274,0.0011486,0.0011486,0.0011486
45,1351.8,1.72938,1.07289,1.66913,0.91758,0.79762,0.86396,0.30022,2.21315,1.16432,2.04617,0.0011288,0.0011288,0.0011288
46,1382.85,1.70667,1.01026,1.67223,0.92184,0.84242,0.90339,0.31549,2.23854,1.04448,2.00269,0.001109,0.001109,0.001109
47,1414.65,1.78095,1.03226,1.73174,0.92042,0.75735,0.86726,0.30052,2.26708,1.23476,2.02673,0.0010892,0.0010892,0.0010892
48,1445.94,1.71143,1.04478,1.65898,0.78822,0.79167,0.77772,0.27051,2.36212,1.02589,2.15055,0.0010694,0.0010694,0.0010694
49,1473.72,1.74651,1.00744,1.69258,0.79971,0.7381,0.78823,0.2599,2.35665,1.07956,2.11811,0.0010496,0.0010496,0.0010496
50,1506.88,1.70476,1.02231,1.66411,0.8062,0.75595,0.79446,0.27957,2.26202,1.06625,2.06667,0.0010298,0.0010298,0.0010298
51,1536.97,1.69645,0.95119,1.66544,0.84654,0.82086,0.84598,0.3078,2.31217,1.0332,2.08078,0.00101,0.00101,0.00101
52,1566.77,1.67912,0.98698,1.62885,0.88165,0.69643,0.7963,0.29177,2.37324,1.32335,2.13557,0.0009902,0.0009902,0.0009902
53,1598.88,1.63049,1.01394,1.61989,0.80001,0.69643,0.77523,0.28342,2.36736,1.30111,2.16326,0.0009704,0.0009704,0.0009704
54,1628.22,1.63243,0.94442,1.62082,0.84901,0.77976,0.82613,0.27549,2.33577,1.20088,2.09871,0.0009506,0.0009506,0.0009506
55,1658.76,1.63527,0.94555,1.59333,0.89247,0.8631,0.87753,0.30896,2.26862,1.08359,2.07015,0.0009308,0.0009308,0.0009308
56,1689.27,1.71068,1.06306,1.66394,0.93885,0.77381,0.84199,0.28364,2.34768,1.0673,2.11647,0.000911,0.000911,0.000911
57,1720.09,1.64661,0.96328,1.61329,0.81002,0.78677,0.78448,0.28404,2.30858,1.15139,2.14479,0.0008912,0.0008912,0.0008912
58,1752.13,1.60278,0.92443,1.58384,0.88151,0.79709,0.85219,0.28766,2.32541,1.11892,2.13986,0.0008714,0.0008714,0.0008714
59,1779.17,1.61702,0.93383,1.60247,0.81745,0.74405,0.81321,0.26191,2.42649,1.21632,2.25713,0.0008516,0.0008516,0.0008516
60,1805.51,1.52921,0.92401,1.57134,0.91017,0.78404,0.83798,0.28345,2.38257,1.05385,2.17749,0.0008318,0.0008318,0.0008318
61,1831.39,1.60867,0.93167,1.58618,0.8468,0.76786,0.83553,0.29078,2.3192,1.06431,2.10217,0.000812,0.000812,0.000812
62,1859,1.55435,0.91513,1.54773,0.88931,0.81548,0.82009,0.28669,2.311,0.97055,2.08517,0.0007922,0.0007922,0.0007922
63,1886.2,1.61112,0.91686,1.59135,0.88322,0.81548,0.84033,0.28498,2.39387,0.99816,2.16013,0.0007724,0.0007724,0.0007724
64,1914.91,1.55673,0.85847,1.55939,0.7143,0.68458,0.63967,0.19985,2.61063,1.16047,2.55217,0.0007526,0.0007526,0.0007526
65,1942.45,1.54345,0.90213,1.54494,0.86929,0.79167,0.83587,0.26168,2.43661,1.11699,2.22773,0.0007328,0.0007328,0.0007328
66,1972.92,1.55228,0.89733,1.56331,0.89388,0.83929,0.85102,0.29063,2.33271,1.02143,2.17598,0.000713,0.000713,0.000713
