epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,464.532,2.30978,2.76827,1.21839,0.00778,0.00753,0.00401,0.00218,nan,nan,nan,0.000362104,0.000362104,0.000362104
2,886.833,1.84196,1.77825,1.08049,0.00121,0.00182,0.00061,0.00037,2.61536,inf,2.52965,0.000725186,0.000725186,0.000725186
3,1393.38,1.8917,1.71097,1.04308,0.16855,0.14217,0.12174,0.06735,1.92786,inf,1.09486,0.00108094,0.00108094,0.00108094
4,1910.53,1.84922,1.59588,1.03961,0.20507,0.24059,0.16527,0.07902,1.90601,2.86953,1.07787,0.001078,0.001078,0.001078
5,2321.44,1.82363,1.51344,1.03521,0.33553,0.38526,0.27381,0.15584,1.81691,4.51222,1.05228,0.001067,0.001067,0.001067
6,2728.27,1.7786,1.47512,1.02223,0.31313,0.3281,0.25511,0.13513,1.82281,1.9319,1.07852,0.00105601,0.00105601,0.00105601
7,3131.64,1.73091,1.41671,1.01808,0.32634,0.29719,0.25835,0.14388,1.83541,2.12827,1.05509,0.00104501,0.00104501,0.00104501
8,3610.09,1.73864,1.40656,1.01516,0.37179,0.39151,0.33521,0.1913,1.73293,1.54364,1.04647,0.00103401,0.00103401,0.00103401
9,4018.7,1.70989,1.39895,0.9983,0.448,0.44021,0.39559,0.23434,1.65715,1.50384,1.03297,0.00102301,0.00102301,0.00102301
10,4448.2,1.65665,1.33213,0.98876,0.47205,0.49737,0.44676,0.25796,1.61525,1.3471,1.01966,0.00101201,0.00101201,0.00101201
11,4856.38,1.66941,1.30879,0.99206,0.41871,0.44124,0.37941,0.21636,1.67448,1.58728,1.03457,0.00100101,0.00100101,0.00100101
12,5290.32,1.65144,1.30272,0.9699,0.46428,0.45236,0.43036,0.23209,1.72935,1.39715,1.05791,0.000990012,0.000990012,0.000990012
13,5719.9,1.61244,1.2802,0.97634,0.47017,0.45308,0.41037,0.22647,1.67897,1.4662,1.03857,0.000979013,0.000979013,0.000979013
14,6174.15,1.63724,1.26491,0.97573,0.43934,0.4427,0.38044,0.20964,1.81003,1.55043,1.03756,0.000968014,0.000968014,0.000968014
15,6586.29,1.64672,1.26894,0.98467,0.50678,0.43765,0.39968,0.23175,1.62737,1.38193,1.01788,0.000957015,0.000957015,0.000957015
16,6978.63,1.59685,1.30417,0.95787,0.48242,0.45156,0.42394,0.24197,1.67505,1.42752,1.03727,0.000946016,0.000946016,0.000946016
17,7383.24,1.60416,1.27054,0.97579,0.517,0.45165,0.44224,0.25221,1.66039,1.39207,1.01914,0.000935018,0.000935018,0.000935018
18,7798.46,1.61267,1.2133,0.96553,0.52365,0.44878,0.45109,0.26063,1.61794,1.46087,1.01253,0.000924019,0.000924019,0.000924019
19,8240.35,1.58531,1.23093,0.95639,0.49657,0.45776,0.4548,0.25213,1.69036,1.39555,1.04534,0.00091302,0.00091302,0.00091302
20,8644.81,1.58505,1.21216,0.96047,0.5113,0.42841,0.42983,0.24857,1.59313,1.43808,1.01875,0.000902021,0.000902021,0.000902021
21,9056.8,1.54403,1.22038,0.9539,0.51791,0.46525,0.44614,0.24372,1.72869,1.40713,1.06373,0.000891022,0.000891022,0.000891022
22,9449.63,1.57636,1.19519,0.95104,0.51978,0.44963,0.43959,0.22924,1.85149,1.38905,1.08139,0.000880023,0.000880023,0.000880023
23,9882.5,1.54532,1.18685,0.95847,0.4836,0.42268,0.39501,0.22814,1.67968,1.96344,1.02566,0.000869024,0.000869024,0.000869024
24,10295.6,1.56766,1.19594,0.9553,0.44366,0.49387,0.45507,0.26991,1.57614,1.48952,1.01508,0.000858025,0.000858025,0.000858025
25,10703.6,1.54491,1.15016,0.95864,0.44173,0.48545,0.44915,0.25739,1.62996,1.60537,1.02219,0.000847026,0.000847026,0.000847026
26,11108.8,1.52688,1.15473,0.95008,0.49176,0.46376,0.43734,0.24758,1.69665,1.3912,1.05046,0.000836027,0.000836027,0.000836027
27,11516.7,1.52569,1.14058,0.94798,0.49382,0.44369,0.44091,0.25143,1.66519,1.39988,1.04447,0.000825029,0.000825029,0.000825029
28,11944.4,1.5104,1.10948,0.94685,0.51075,0.46589,0.43027,0.24545,1.62982,1.38781,1.00286,0.00081403,0.00081403,0.00081403
29,12367.7,1.51003,1.15717,0.94938,0.48897,0.49183,0.44832,0.25417,1.67858,1.40936,1.0298,0.000803031,0.000803031,0.000803031
30,12767.6,1.51785,1.1535,0.93893,0.51756,0.47456,0.46058,0.25134,1.6714,1.44666,1.03197,0.000792032,0.000792032,0.000792032
31,13225.7,1.53012,1.11512,0.93334,0.46785,0.46127,0.44229,0.24724,1.66886,1.3894,1.02625,0.000781033,0.000781033,0.000781033
32,13606.9,1.49912,1.09101,0.94025,0.45725,0.48947,0.44568,0.24969,1.68394,1.40793,1.02707,0.000770034,0.000770034,0.000770034
33,14004.3,1.48655,1.06538,0.93768,0.46914,0.44005,0.41633,0.2435,1.61038,1.49974,1.02725,0.000759035,0.000759035,0.000759035
34,14393.3,1.47571,1.05709,0.93466,0.5137,0.46863,0.45653,0.25457,1.7013,1.43876,1.04929,0.000748036,0.000748036,0.000748036
35,14838.2,1.49677,1.08303,0.92809,0.50183,0.47048,0.45598,0.26389,1.60738,1.40158,1.02117,0.000737037,0.000737037,0.000737037
36,15243.3,1.47187,1.06131,0.93738,0.50457,0.46947,0.44401,0.258,1.63637,1.40572,1.01186,0.000726038,0.000726038,0.000726038
37,15653.1,1.47024,1.0529,0.93545,0.51451,0.45396,0.45237,0.26157,1.64639,1.42155,1.0391,0.00071504,0.00071504,0.00071504
38,16050.6,1.43558,1.05164,0.94511,0.54493,0.46872,0.46438,0.26596,1.63737,1.41827,1.02975,0.000704041,0.000704041,0.000704041
39,16439.1,1.45001,1.05421,0.94012,0.47259,0.47275,0.43801,0.24513,1.6865,1.57003,1.0429,0.000693042,0.000693042,0.000693042
40,16902.5,1.43876,1.05782,0.93952,0.51196,0.47834,0.46265,0.27039,1.60197,1.38171,1.01585,0.000682043,0.000682043,0.000682043
41,17340.3,1.43341,1.01335,0.92923,0.52641,0.46302,0.46574,0.26466,1.6625,1.35449,1.04289,0.000671044,0.000671044,0.000671044
42,17764.6,1.42228,1.02863,0.9497,0.52108,0.4455,0.44262,0.24627,1.6659,1.46123,1.02995,0.000660045,0.000660045,0.000660045
43,18268.4,1.46745,1.02645,0.92541,0.5438,0.47626,0.47871,0.27778,1.61522,1.31805,1.02712,0.000649046,0.000649046,0.000649046
44,18718.9,1.47493,1.04171,0.93409,0.45588,0.47805,0.4382,0.25833,1.58176,1.51331,1.02496,0.000638047,0.000638047,0.000638047
45,19135.2,1.43403,1.02462,0.91921,0.51348,0.45613,0.43898,0.26108,1.56103,1.48953,1.01947,0.000627048,0.000627048,0.000627048
46,19534.8,1.4391,1.02589,0.91883,0.547,0.46638,0.46197,0.24851,1.75608,1.45891,1.05595,0.000616049,0.000616049,0.000616049
47,19919.6,1.41281,0.99431,0.93611,0.49776,0.4336,0.45022,0.24742,1.77146,1.66626,1.05899,0.000605051,0.000605051,0.000605051
48,20330.5,1.42268,0.99321,0.92537,0.55132,0.47978,0.47831,0.27251,1.66356,1.39619,1.04088,0.000594052,0.000594052,0.000594052
49,20726.4,1.41638,0.98549,0.92201,0.47115,0.44161,0.41737,0.24126,1.6118,1.44572,1.0257,0.000583053,0.000583053,0.000583053
50,21129.4,1.41406,0.99288,0.91534,0.51844,0.46831,0.46506,0.26495,1.65854,1.45532,1.04891,0.000572054,0.000572054,0.000572054
51,21598.8,1.419,0.97565,0.92279,0.51967,0.46847,0.46339,0.26695,1.63324,1.4996,1.02536,0.000561055,0.000561055,0.000561055
52,21987.3,1.40581,0.96177,0.92219,0.53771,0.4634,0.47026,0.26598,1.68394,1.47198,1.05143,0.000550056,0.000550056,0.000550056
53,22434,1.43944,0.96353,0.92625,0.43551,0.4184,0.39917,0.23189,1.5772,1.61728,1.02254,0.000539057,0.000539057,0.000539057
54,22867.1,1.38284,0.94291,0.91994,0.49374,0.45173,0.44702,0.25888,1.61941,1.49172,1.03348,0.000528058,0.000528058,0.000528058
55,23308,1.43572,0.95936,0.9131,0.5201,0.47171,0.4478,0.25654,1.63452,1.47995,1.02196,0.000517059,0.000517059,0.000517059
